"Stem","Orders_Sum","WordsOfStem_Visits","StemC"
"248951","18699","total(248951)","total"
"4983","211","searchxmasdogchristmasoutfit(4983)","searchxmasdogchristmasoutfit"
"4379","395","xmas dog christma toy(4379)","xmas dog christma toy"
"2300","56","panorama(2300)","panorama"
"1835","118","searchxmaspetadventcalendar(1835)","searchxmaspetadventcalendar"
"1593","120","searchxmasdogchristmastoy(1593)","searchxmasdogchristmastoy"
"1551","125","searchxmasdogchristmasstock(1551)","searchxmasdogchristmasstock"
"1317","19","homezon(1317)","homezon"
"1202","126","searchxmasdogchristmastreat(1202)","searchxmasdogchristmastreat"
"1152","17","frozen tank(1152)","frozen tank"
"1126","35","trixi furnitur(1123); trixi natur live(3)","trixi furnitur"
"1101","16","trixi carrier(1101)","trixi carrier"
"1090","176","hay(1090)","hay"
"1021","63","harrington(1021)","harrington"
"1012","41","flea(1012)","flea"
"885","139","royal canin cat(885)","royal canin cat"
"875","164","wainwright dog(875)","wainwright dog"
"869","77","thundershirt(869)","thundershirt"
"785","41","dog coat(785)","dog coat"
"784","29","advent calendar dog(784)","advent calendar dog"
"732","42","chariti meal(732)","chariti meal"
"703","43","biosaf(703)","biosaf"
"665","21","dog advent calendar(665)","dog advent calendar"
"659","102","felix(659)","felix"
"639","44","hutch cover(639)","hutch cover"
"626","98","hill scienc plan(626)","hill scienc plan"
"603","30","ancol bowl(603)","ancol bowl"
"601","26","filter(601)","filter"
"601","147","hill prescript(601)","hill prescript"
"599","12","trixi(599)","trixi"
"593","121","arden grang dog(593)","arden grang dog"
"586","33","searchxmas2016calendar(586)","searchxmas2016calendar"
"581","18","trixi har(581)","trixi har"
"580","5","beard dragon(580)","beard dragon"
"573","66","hill(573)","hill"
"572","123","dentastix(572)","dentastix"
"572","12","harrington dog food(572)","harrington dog food"
"569","26","hutch(569)","hutch"
"566","162","royal canin vet(566)","royal canin vet"
"563","34","royal canin vet diet cat(563)","royal canin vet diet cat"
"561","26","searchxmasdogchristmasb(561)","searchxmasdogchristmasb"
"556","16","cat carrier(556)","cat carrier"
"551","20","pedigre pouch(551)","pedigre pouch"
"548","22","frontlin cat(548)","frontlin cat"
"537","32","searchxmassmallanim(537)","searchxmassmallanim"
"533","73","chappi(533)","chappi"
"523","26","flea spray(523)","flea spray"
"518","33","crate(518)","crate"
"512","22","hamster heaven(512)","hamster heaven"
"512","6","royal canin pouch(512)","royal canin pouch"
"511","32","dog collar(511)","dog collar"
"508","30","searchxmaskidstoy(508)","searchxmaskidstoy"
"507","13","whiska 12 pack(507)","whiska 12 pack"
"505","20","frontlin dog(505)","frontlin dog"
"504","24","cat bed(504)","cat bed"
"503","16","monkfield vivarium(503)","monkfield vivarium"
"496","30","cat bed(496)","cat bed"
"482","5","dog antler(482)","dog antler"
"476","55","bark head(476)","bark head"
"476","10","turtl(476)","turtl"
"474","36","searchxmascardswrapandtag(474)","searchxmascardswrapandtag"
"468","26","chuckit(468)","chuckit"
"468","31","purina(468)","purina"
"467","39","hutch cover(467)","hutch cover"
"464","14","vetb(464)","vetb"
"462","28","advent(462)","advent"
"459","48","searchxmasdogchristmasrawhid(459)","searchxmasdogchristmasrawhid"
"450","16","dog collar(450)","dog collar"
"435","41","yumov(435)","yumov"
"430","58","applaw(430)","applaw"
"424","70","dog treat(424)","dog treat"
"424","28","royal canin junior(424)","royal canin junior"
"423","42","whiska(423)","whiska"
"416","9","vivarium(416)","vivarium"
"411","20","flea control(411)","flea control"
"409","8","applaw dog 15kg(409)","applaw dog 15kg"
"409","40","puppi pad(409)","puppi pad"
"406","58","straw(406)","straw"
"404","64","applaw cat(404)","applaw cat"
"404","15","fluval(404)","fluval"
"394","52","wagg(394)","wagg"
"392","3","greeni treat(392)","greeni treat"
"390","13","dog boot(390)","dog boot"
"390","55","pedigre(390)","pedigre"
"389","8","halti(389)","halti"
"389","7","snake(389)","snake"
"385","38","poop bag(385)","poop bag"
"384","12","dog lead(384)","dog lead"
"383","31","fish food(383)","fish food"
"382","58","baker(382)","baker"
"382","25","calendar(382)","calendar"
"376","35","antler(376)","antler"
"373","27","feliway cat(373)","feliway cat"
"367","24","eukanuba dog(367)","eukanuba dog"
"365","22","heat pad(365)","heat pad"
"362","45","catnip(362)","catnip"
"362","23","sand(362)","sand"
"361","13","pet carrier(361)","pet carrier"
"360","46","nylabon(360)","nylabon"
"358","18","cat litter tray(358)","cat litter tray"
"358","2","dog groom(358)","dog groom"
"356","15","hedgehog(356)","hedgehog"
"351","48","blanket(351)","blanket"
"351","15","cat toy(351)","cat toy"
"347","38","felix cat food(347)","felix cat food"
"346","44","carefresh(346)","carefresh"
"339","42","jame wellbelov cat(339)","jame wellbelov cat"
"338","34","dog shampoo(338)","dog shampoo"
"334","47","scienc plan(334)","scienc plan"
"333","0","bark head 12kg(333)","bark head 12kg"
"333","8","kennel(333)","kennel"
"332","18","searchxmascatchristmastoy(332)","searchxmascatchristmastoy"
"329","86","poo bag(329)","poo bag"
"325","21","dog lead(325)","dog lead"
"321","10","air pump(321)","air pump"
"321","11","dog tag(321)","dog tag"
"320","15","carrier(320)","carrier"
"320","22","pick and mix small(320)","pick and mix small"
"319","72","rawhid(319)","rawhid"
"318","21","scratch post(318)","scratch post"
"317","1","goldfish(317)","goldfish"
"311","10","dog crate(311)","dog crate"
"311","5","indorex(311)","indorex"
"309","1","aquarium(309)","aquarium"
"306","79","dreami(306)","dreami"
"305","17","searchxmascatchristmasstock(305)","searchxmascatchristmasstock"
"301","40","pedigre dog food(301)","pedigre dog food"
"298","31","stock(298)","stock"
"296","16","advent calend(296)","advent calend"
"294","29","dog blanket(294)","dog blanket"
"293","42","chappi dog food(293)","chappi dog food"
"292","31","bowl(292)","bowl"
"292","7","hamster wheel(292)","hamster wheel"
"292","12","wheel(292)","wheel"
"287","1","hill felin pouch(287)","hill felin pouch"
"286","7","dog gate(286)","dog gate"
"283","8","searchxmascatchristmasfashion(283)","searchxmascatchristmasfashion"
"282","11","filter(282)","filter"
"281","11","feliway diffus(281)","feliway diffus"
"281","63","smartbon(281)","smartbon"
"279","13","adaptil dog(279)","adaptil dog"
"279","48","jame wellbelov complet(279)","jame wellbelov complet"
"277","24","baker dog food(277)","baker dog food"
"277","41","sheba(277)","sheba"
"272","13","drontal(272)","drontal"
"271","3","dog hat christma(271)","dog hat christma"
"266","34","wagg dog food(266)","wagg dog food"
"265","19","dog jumper(265)","dog jumper"
"264","5","flea bomb(264)","flea bomb"
"264","2","groom room dog(264)","groom room dog"
"263","49","timothi hay(263)","timothi hay"
"258","34","rabbit food(258)","rabbit food"
"257","9","aquarium(257)","aquarium"
"256","15","heat mat(256)","heat mat"
"256","26","hill scienc(256)","hill scienc"
"256","22","kitten food(256)","kitten food"
"255","20","searchxmascatchristmastreat(255)","searchxmascatchristmastreat"
"253","7","guinea pig cage(253)","guinea pig cage"
"249","16","gravel(249)","gravel"
"247","2","chester bed(247)","chester bed"
"245","73","poop bag(245)","poop bag"
"244","17","calendar dog(244)","calendar dog"
"244","35","sanicat(244)","sanicat"
"243","19","advent calendar(243)","advent calendar"
"241","21","bed(241)","bed"
"241","3","dog guard(241)","dog guard"
"241","27","royal canin dog(241)","royal canin dog"
"240","10","fish tank filter(240)","fish tank filter"
"237","18","toy box(237)","toy box"
"236","13","advantag(236)","advantag"
"236","14","flash dog collar(236)","flash dog collar"
"236","14","tunnel(236)","tunnel"
"234","37","felix as good as it look(234)","felix as good as it look"
"234","6","wainwright bed(234)","wainwright bed"
"227","8","hamster ball(227)","hamster ball"
