"Visits_sum","Orders_Sum","WordsOfStem_Visits"
"248951","18699","total(248951)"
"4983","211","searchxmasdogchristmasoutfit(4983)"
"4379","395","xmas dog christma toy(4379)"
"2300","56","panorama(2300)"
"1835","118","searchxmaspetadventcalendar(1835)"
"1593","120","searchxmasdogchristmastoy(1593)"
"1551","125","searchxmasdogchristmasstock(1551)"
"1317","19","homezon(1317)"
"1202","126","searchxmasdogchristmastreat(1202)"
"1152","17","frozen tank(1152)"
"1126","35","trixi furnitur(1123); trixi natur live(3)"
"1101","16","trixi carrier(1101)"
"1090","176","hay(1090)"
"1021","63","harrington(1021)"
"1012","41","flea(1012)"
"885","139","royal canin cat(885)"
"875","164","wainwright dog(875)"
"869","77","thundershirt(869)"
"785","41","dog coat(785)"
"784","29","advent calendar dog(784)"
"732","42","chariti meal(732)"
"703","43","biosaf(703)"
"665","21","dog advent calendar(665)"
"659","102","felix(659)"
"639","44","hutch cover(639)"
"626","98","hill scienc plan(626)"
"603","30","ancol bowl(603)"
"601","26","filter(601)"
"601","147","hill prescript(601)"
"599","12","trixi(599)"
"593","121","arden grang dog(593)"
"586","33","searchxmas2016calendar(586)"
"581","18","trixi har(581)"
"580","5","beard dragon(580)"
"573","66","hill(573)"
"572","123","dentastix(572)"
"572","12","harrington dog food(572)"
"569","26","hutch(569)"
"566","162","royal canin vet(566)"
"563","34","royal canin vet diet cat(563)"
"561","26","searchxmasdogchristmasb(561)"
"556","16","cat carrier(556)"
"551","20","pedigre pouch(551)"
"548","22","frontlin cat(548)"
"537","32","searchxmassmallanim(537)"
"533","73","chappi(533)"
"523","26","flea spray(523)"
"518","33","crate(518)"
"512","22","hamster heaven(512)"
"512","6","royal canin pouch(512)"
"511","32","dog collar(511)"
"508","30","searchxmaskidstoy(508)"
"507","13","whiska 12 pack(507)"
"505","20","frontlin dog(505)"
"504","24","cat bed(504)"
"503","16","monkfield vivarium(503)"
"496","30","cat bed(496)"
"482","5","dog antler(482)"
"476","55","bark head(476)"
"476","10","turtl(476)"
"474","36","searchxmascardswrapandtag(474)"
"468","26","chuckit(468)"
"468","31","purina(468)"
"467","39","hutch cover(467)"
"464","14","vetb(464)"
"462","28","advent(462)"
"459","48","searchxmasdogchristmasrawhid(459)"
"450","16","dog collar(450)"
"435","41","yumov(435)"
"430","58","applaw(430)"
"424","70","dog treat(424)"
"424","28","royal canin junior(424)"
"423","42","whiska(423)"
"416","9","vivarium(416)"
"411","20","flea control(411)"
"409","8","applaw dog 15kg(409)"
"409","40","puppi pad(409)"
"406","58","straw(406)"
"404","64","applaw cat(404)"
"404","15","fluval(404)"
"394","52","wagg(394)"
"392","3","greeni treat(392)"
"390","13","dog boot(390)"
"390","55","pedigre(390)"
"389","8","halti(389)"
"389","7","snake(389)"
"385","38","poop bag(385)"
"384","12","dog lead(384)"
"383","31","fish food(383)"
"382","58","baker(382)"
"382","25","calendar(382)"
"376","35","antler(376)"
"373","27","feliway cat(373)"
"367","24","eukanuba dog(367)"
"365","22","heat pad(365)"
"362","45","catnip(362)"
"362","23","sand(362)"
"361","13","pet carrier(361)"
"360","46","nylabon(360)"
"358","18","cat litter tray(358)"
"358","2","dog groom(358)"
"356","15","hedgehog(356)"
"351","48","blanket(351)"
"351","15","cat toy(351)"
"347","38","felix cat food(347)"
"346","44","carefresh(346)"
"339","42","jame wellbelov cat(339)"
"338","34","dog shampoo(338)"
"334","47","scienc plan(334)"
"333","0","bark head 12kg(333)"
"333","8","kennel(333)"
"332","18","searchxmascatchristmastoy(332)"
"329","86","poo bag(329)"
"325","21","dog lead(325)"
"321","10","air pump(321)"
"321","11","dog tag(321)"
"320","15","carrier(320)"
"320","22","pick and mix small(320)"
